state,dist,post,pin,village
Kerala,Idukki,Balagram,685552,Karunapuram
Kerala,Idukki,Kallar,685552,Karunapuram
Kerala,Idukki,Kallar,685552,Parathodu
Kerala,Idukki,Pushpakandam,685552,Parathodu
Kerala,Idukki,Karunapuram,685552,Karunapuram
Kerala,Idukki,Manjappara,685553,Kalkoonthal
Kerala,Idukki,Chembalam,685553,Pampadumpara
Kerala,Idukki,Pachady,685553,Kalkoonthal
Kerala,Idukki,Mavady,685553,Kalkoonthal
Kerala,Idukki,Kailasanadu,685553,Parathodu
Kerala,Idukki,Ezhukunvayal,685553,Kalkoonthal
Kerala,Idukki,Nedumkandam,685553,Nedumkandam
Kerala,Idukki,Pampadumpara,685553,Pampadumpara
Kerala,Idukki,Chathurangapara,685554,Chathurangapara
Kerala,Idukki,Udumbanchola,685554,Udumbanchola
Kerala,Idukki,Chemmannar,685554,Udumbanchola
Kerala,Idukki,Anaviratty,685561,Anaviratty
Kerala,Idukki,Mannamkandam,685561,Mannamkandam
Kerala,Idukki,Adimali,685561,Mannamkandam
Kerala,Idukki,Valara,685561,Mannamkandam
Kerala,Idukki,Machiplavu,685561,Mannamkandam
Kerala,Idukki,Korangatti,685561,Mannamkandam
Kerala,Idukki,Padicap,685561,Mannamkandam
Kerala,Idukki,Koompanpara,685561,Vellathuval
Kerala,Idukki,Kallarkutty,685562,Kallarkutty
Kerala,Idukki,Mukkudam,685562,Konnathady
Kerala,Idukki,South Kathipara,685562,Vellathuval
Kerala,Idukki,Panamkutty,685562,Vathikudy
Kerala,Idukki,Konnathady,685563,Konnathady
Kerala,Idukki,Selliampara,685563,Vellathuval
Kerala,Idukki,Ponmudi,685563,Konnathady
Kerala,Idukki,Vellathooval,685563,Vellathooval
Kerala,Idukki,Pottenkad,685565,Baisonvally
Kerala,Idukki,Chithirapuram,685565,Chithirapuram
Kerala,Idukki,Vattiar,685565,Pallivasal
Kerala,Idukki,Sengulam,685565,Vellathuval
Kerala,Idukki,Pallivasal,685565,Pallivasal
Kerala,Idukki,Thokkupara,685565,Pallivasal
Kerala,Idukki,Bisonvalley,685565,Baisonvally
Kerala,Idukki,Kunchithanni,685565,Kunjithanny
Kerala,Idukki,Mankulam,685565,Mankulam
Kerala,Idukki,Anakulam,685565,Mankulam
Kerala,Idukki,Meencut,685565,Pallivasal
Kerala,Idukki,Ellakallu,685565,Rajakkad
Kerala,Idukki,Josegiri,685565,Rajakkad
Kerala,Idukki,N R City,685566,Rajakkad
Kerala,Idukki,Rajakad,685566,Rajakkad
Kerala,Idukki,C. Kuthumkal,685566,Rajakkad
Kerala,Idukki,Mammattikanam,685566,Rajakkad
Kerala,Idukki,Mukkudil,685566,Rajakkad
Kerala,Idukki,Parathode (Idukki),685571,Konnathady
Kerala,Idukki,Panickankudy,685571,Konnathady
Kerala,Idukki,Mullarikudy,685571,Konnathady
Kerala,Idukki,Muniyara,685571,Konnathady
Kerala,Idukki,Karimannoor,685581,Karimannoor
Kerala,Idukki,Thattakuzha,685581,Udumbannoor
Kerala,Idukki,Cheppukulam,685581,Udumbannoor
Kerala,Idukki,Koduveli,685581,Kodikulam
Kerala,Idukki,Mulappuram,685581,Neyyasseri
Kerala,Idukki,Neyyassery,685581,Neyyasseri
Kerala,Idukki,Pannoor,685581,Karimannoor
Kerala,Idukki,Thommankuthu,685581,Karimannoor
Kerala,Idukki,Kodikulam,685582,Kodikulam
Kerala,Idukki,West Kodikulam,685582,Kodikulam
Kerala,Idukki,Vandamattom,685582,Kodikulam
Kerala,Idukki,Parapuzha,685582,Kodikulam
Kerala,Idukki,Vazhithala,685583,Purapuzha
Kerala,Idukki,Purapuzha,685583,Purapuzha
Kerala,Idukki,Kuninji,685583,Purapuzha
Kerala,Idukki,Thodupuzha,685584,Thodupuzha
Kerala,Idukki,Thekkumbhagam,685585,Karikkode (Part)
Kerala,Idukki,Anchiri,685585,Alacode
Kerala,Idukki,Thodupuzha East,685585,Karikkode (Part)
Kerala,Idukki,Ottalloor,685586,Karimkunnam (Part)
Kerala,Idukki,Vadakkummury,685586,Karimkunnam (Part)
Kerala,Idukki,Thattarathatta,685586,Karimkunnam (Part)
Kerala,Idukki,Karimkunnam,685586,Karimkunnam (Part)
Kerala,Idukki,Muttom EK,685587,Muttom
Kerala,Idukki,Thudanganad,685587,Muttom
Kerala,Idukki,Mrala,685587,Karimkunnam (Part)
Kerala,Idukki,Ellumpuram,685587,Muttom
Kerala,Idukki,Devarupara,685588,Velliyamattom
Kerala,Idukki,Alakode,685588,Alacode
Kerala,Idukki,Chilavu,685588,Alacode
Kerala,Idukki,Kalayanthani,685588,Kalayanthani
Kerala,Idukki,Edavetty,685588,Karikkode (Part)
Kerala,Idukki,Koovakandam,685588,Velliyamattom
Kerala,Idukki,Elamdesom,685588,Velliyamattom
Kerala,Idukki,Pannimattom,685588,Velliyamattom
Kerala,Idukki,Velliyamattom,685588,Velliyamattom
Kerala,Idukki,Ilappally,685589,Elappally
Kerala,Idukki,Moolamattom East,685589,Arakkulam
Kerala,Idukki,Pathippally,685589,Arakkulam
Kerala,Idukki,Moolamattom,685589,Moolamattom
Kerala,Idukki,Edad-idukki,685589,Elappally
Kerala,Idukki,Kannickal,685589,Elappally
Kerala,Idukki,Adoormala,685590,Kudayathoor
Kerala,Idukki,Kanjar,685590,Kudayathoor
Kerala,Idukki,Koovappally-kudayathur,685590,Kudayathoor
Kerala,Idukki,Kudayathur,685590,Kudayathoor
Kerala,Idukki,Arakulam,685591,Arakulam
Kerala,Idukki,Peringassery,685595,Udumbannoor
Kerala,Idukki,Cheenikuzhi,685595,Udumbannoor
Kerala,Idukki,Malayinchi,685595,Udumbannoor
Kerala,Idukki,Moolakad,685595,Udumbannoor
Kerala,Idukki,Udumbannur,685595,Udumbannoor
Kerala,Idukki,Amayapra,685595,Udumbannoor
Kerala,Idukki,Karippalangad,685601,Arakkulam
Kerala,Idukki,Kulamavu,685601,Kulamavu
Kerala,Idukki,Manipara,685602,Idukki (Part)
Kerala,Idukki,Idukki Colony,685602,Idukki Colony
Kerala,Idukki,Narakakanam,685602,Thankamony (Part)
Kerala,Idukki,Vimalagiri,685602,Upputhode
Kerala,Idukki,Maniyaramkudy,685602,Idukki (Part)
Kerala,Idukki,Mulakuvally,685602,Idukki (Part)
Kerala,Idukki,Nayarupara,685602,Upputhode
Kerala,Idukki,Thadiampadu,685602,Idukki (Part)
Kerala,Idukki,Mariyapuram,685602,Thankamony (Part)
Kerala,Idukki,Idukki Painavu,685603,Idukki (Part)
Kerala,Idukki,Upputhode,685604,Upputhode
Kerala,Idukki,Rajamudi,685604,Vathikudy
Kerala,Idukki,Mankuva,685604,Vathikudy
Kerala,Idukki,Perinchankutty,685604,Vathikudy
Kerala,Idukki,Murickassery,685604,Vathikudy
Kerala,Idukki,Padamugham,685604,Vathikudy
Kerala,Idukki,Konnackamali,685604,Vathikudy
Kerala,Idukki,Rajapuram,685604,Vathikudy
Kerala,Idukki,Ezhallur,685605,Kumaramangalam (Part)
Kerala,Idukki,Perumpillichira,685605,Kumaramangalam (Part)
Kerala,Idukki,Ezhumuttom,685605,Neyyasseri
Kerala,Idukki,Muthalakodam,685605,Thodupuzha (Part)
Kerala,Idukki,Thattekanni,685606,Idukki (Part)
Kerala,Idukki,Chelachuvadu,685606,Kanjikuzhi
Kerala,Idukki,Pazhayarikandam,685606,Kanjikuzhi
Kerala,Idukki,Alpara,685606,Kanjikuzhi
Kerala,Idukki,Keerithode,685606,Kanjikuzhi
Kerala,Idukki,Kanjikuzhi - Idukki,685606,Kanjikuzhi
Kerala,Idukki,Venmony,685606,Kanjikuzhi
Kerala,Idukki,Mundanmudy,685607,Vannapuram
Kerala,Idukki,Vannapuram,685607,Vannapuram
Kerala,Idukki,Kaliyar,685607,Vannapuram
Kerala,Idukki,Pulickathotty,685607,Vannapuram
Kerala,Idukki,Mullaringadu,685607,Vannapuram
Kerala,Idukki,Mailacombu,685608,Kumaramangalam (Part)
Kerala,Idukki,Manakkad,685608,Manakkad (Part)
Kerala,Idukki,Thodupuzha -puthuperiyaram,685608,Manakkad (Part)
Kerala,Idukki,Vengallur,685608,Thodupuzha (Part)
Kerala,Idukki,Kumaramangala,685608,Kumaramangalam (Part)
Kerala,Idukki,Kaloor East,685608,Kumaramangalam (Part)
Kerala,Idukki,Nediyasala,685608,Purapuzha
Kerala,Idukki,Arikuzha,685608,Manakkad (Part)
Kerala,Idukki,Vengallur,685608,Kumaramangalam (Part)
Kerala,Idukki,Kolani,685608,Thodupuzha
Kerala,Idukki,Pandipara,685609,Thankamony (Part)
Kerala,Idukki,Thankamany,685609,Thankamany
Kerala,Idukki,Marigiri,685609,Vathikudy
Kerala,Idukki,Prakash,685609,Vathikudy
Kerala,Idukki,Thopramkduy,685609,Vathikudy
Kerala,Idukki,Perumthotty,685609,Vathikudy
Kerala,Idukki,Gudarle,685612,Kannan Devan Hills
Kerala,Idukki,Edamalakudi,685612,Munnar
Kerala,Idukki,Pothamedu,685612,Kannan Devan Hills
Kerala,Idukki,Munnar,685612,Munnar
Kerala,Idukki,Munnar Colony,685612,Kannan Devan Hills
Kerala,Idukki,Pallivasal Estate,685612,Pallivasal
Kerala,Idukki,Panniar Estate,685613,Poopara
Kerala,Idukki,Devikulam,685613,Devikulam
Kerala,Idukki,Anayirankal,685613,Poopara
Kerala,Idukki,Chattamannar,685614,Marayoor
Kerala,Idukki,Talliar,685614,Talliar
Kerala,Idukki,Koviloor,685615,Vattavada
Kerala,Idukki,Kottakomboor,685615,Kottakamboor
Kerala,Idukki,Ellapatti,685615,Ellapatti
Kerala,Idukki,Sethuparvathipuram,685615,Kannan Devan Hills
Kerala,Idukki,Mattuppatti,685616,Mattuppatti
Kerala,Idukki,Mattupatty ISP,685616,Kannan Devan Hills
Kerala,Idukki,Chinnakanal,685618,Chinnakanal
Kerala,Idukki,Sinkukandam,685618,Chinnakanal
Kerala,Idukki,Surianalle,685618,Chinnakanal
Kerala,Idukki,Puthady,685619,Santhanpara
Kerala,Idukki,Santhanpara,685619,Santhanpara
Kerala,Idukki,Rajakumari,685619,Rajakumari
Kerala,Idukki,Rajakumari South,685619,Rajakumari
Kerala,Idukki,Senapathy,685619,Kanthippara
Kerala,Idukki,Kulaparachal,685619,Rajakumari
Kerala,Idukki,Pethotty,685619,Santhanpara
Kerala,Idukki,Poopara,685619,Poopara
Kerala,Idukki,Aruvilanchal,685619,Kanthippara
Kerala,Idukki,Vattappara (UBC),685619,Kanthippara
Kerala,Idukki,Khajanapara,685619,Rajakumari
Kerala,Idukki,Sahayagiri,685620,Marayoor
Kerala,Idukki,Kanthallur,685620,Kanthalloor
Kerala,Idukki,Pius Nagar,685620,Keezhanthoor
Kerala,Idukki,Maraiyur,685620,Marayoor
Kerala,Idukki,Michaelgiri,685620,Marayoor
Kerala,Idukki,Kuppakkayam,686513,Peruvanthanam
Kerala,Idukki,Mundakayam East,686513,Peruvanthanam
Kerala,Idukki,Mukkulam,686514,Kokkayar
Kerala,Idukki,Wembly,686514,Kokkayar
Kerala,Idukki,Mukkulam East,686514,Kokkayar
Kerala,Kannur,Kannur Railway Station,670001,Kannur
Kerala,Kannur,Kannur,670001,Kannur
Kerala,Kannur,Payyambalam,670001,Kannur
Kerala,Kannur,Civil Station Kannur,670002,Kannur
Kerala,Kannur,Talap (Kannur),670002,Kannur
Kerala,Kannur,Katalayi,670003,Edakkad
Kerala,Kannur,Katalayi,670003,Kannur
Kerala,Kannur,Kannur City,670003,Kannur
Kerala,Kannur,Pallikunnu,670004,Kannur
Kerala,Kannur,Pallikunnu,670004,PALLIKUNNU
Kerala,Kannur,Kakkat,670005,Elayavoor
Kerala,Kannur,Kottali,670005,PALLIKUNNU
Kerala,Kannur,Kakkat,670005,Kannur
Kerala,Kannur,Kottali,670005,Kannur
Kerala,Kannur,Kakkat,670005,puzhathi
Kerala,Kannur,Kottali,670005,puzhathi
Kerala,Kannur,Kottali,670005,Chirakkal
Kerala,Kannur,Attadappa,670006,Elayavoor
Kerala,Kannur,Attadappa,670006,Edakkad
Kerala,Kannur,Chovva,670006,Elayavoor
Kerala,Kannur,Chovva,670006,Chovva
Kerala,Kannur,Kappad,670006,Chelora
Kerala,Kannur,Thottada,670007,Kannur
Kerala,Kannur,Kizhunna,670007,Edakkad
Kerala,Kannur,Thottada,670007,Elayavoor
Kerala,Kannur,Kizhunna,670007,Kannur
Kerala,Kannur,Thottada,670007,Edakkad
Kerala,Kannur,Alavil,670008,Kannur
Kerala,Kannur,Alavil,670008,Chirakkal
Kerala,Kannur,Azhikode South,670009,Azhikode
Kerala,Kannur,Azhikkal,670009,Azhikode North
Kerala,Kannur,Azhikode,670009,Kannur
Kerala,Kannur,Azhikode,670009,Azhikode North
Kerala,Kannur,Azhikkal,670009,Azhikode
Kerala,Kannur,Azhikode,670009,Azhikode South
Kerala,Kannur,Azhikode South,670009,Azhikode South
Kerala,Kannur,Valapattanam,670010,VALAPATTANAM
Kerala,Kannur,Valapattanam,670010,Chirakkal
Kerala,Kannur,Valapattanam,670010,Kannur
Kerala,Kannur,Valapattanam,670010,Azhikode
Kerala,Kannur,Kattampally,670011,Chirakkal
Kerala,Kannur,Chirakkal,670011,Kannur
Kerala,Kannur,Chirakkal,670011,VALAPATTANAM
Kerala,Kannur,Kattampally,670011,Kannur
Kerala,Kannur,Chirakkal,670011,puzhathi
Kerala,Kannur,Chirakkal,670011,Chirakkal
Kerala,Kannur,Kannur Thana,670012,Kannur
Kerala,Kannur,Kannookara,670012,Kannur
Kerala,Kannur,Burnacherry,670013,Kannur
Kerala,Kannur,Chalad,670014,Kannur
Kerala,Kannur,Chalad,670014,PALLIKUNNU
Kerala,Kannur,Kannur District Hospital,670017,Kannur
Kerala,Kannur,Thazhe Chovva,670018,Elayavoor
Kerala,Kannur,Thazhe Chovva,670018,Kannur
Kerala,Kannur,Thazhe Chovva,670018,Chelora
Kerala,Kannur,Thalassery Courts,670101,Thalassery
Kerala,Kannur,Thalassery,670101,Thalassery
Kerala,Kannur,Punnol,670102,Kodiyeri
Kerala,Kannur,Kurichiyil,670102,Kodiyeri
Kerala,Kannur,Temple Gate,670102,TIRUVANGAD
Kerala,Kannur,Tiruvangad,670103,TIRUVANGAD
Kerala,Kannur,Moozhikkara,670103,Kodiyeri
Kerala,Kannur,Cherakkara,670104,TIRUVANGAD
Kerala,Kannur,Vadakkumbad,670105,Eranholi
Kerala,Kannur,Nettur (Kannur),670105,Thalassery
Kerala,Kannur,Dharmadam,670106,DHARMADAM
Kerala,Kannur,Eranholi,670107,ERANHOLI
Kerala,Kannur,Perundattil,670107,ERANHOLI
Kerala,Kannur,Taliparamba,670141,Taliparamba
Kerala,Kannur,Thrichambaram,670141,Taliparamba
Kerala,Kannur,Muyyam,670142,Taliparamba
Kerala,Kannur,Pallivayal,670142,Taliparamba
Kerala,Kannur,Panniyur,670142,Taliparamba
Kerala,Kannur,Pallivayal,670142,Panniyoor
Kerala,Kannur,Pallivayal,670142,Chepparapadava
Kerala,Kannur,Pallivayal,670142,Pariyaram
Kerala,Kannur,Kanhirangad,670142,Taliparamba
Kerala,Kannur,Panniyur,670142,Chengalai
Kerala,Kannur,Chuzhali,670142,Chuzhali
Kerala,Kannur,Koyyam,670142,Chengalai
Kerala,Kannur,Kuttiyeri,670142,Pariyaram
Kerala,Kannur,Kurumathur,670142,Taliparamba
Kerala,Kannur,Kanhirangad,670142,Kurumathur
Kerala,Kannur,Kurumathur,670142,Kurumathur
Kerala,Kannur,Kanhirangad,670142,Kuttiyeri
Kerala,Kannur,Kuttiyeri,670142,Kuttiyeri
Kerala,Kannur,Kanhirangad,670142,Panniyoor
Kerala,Kannur,Kurumathur,670142,Panniyoor
Kerala,Kannur,Chuzhali,670142,Taliparamba
Kerala,Kannur,Panniyur,670142,Chuzhali
Kerala,Kannur,Muyyam,670142,Kurumathur
Kerala,Kannur,Panniyur,670142,Panniyoor
Kerala,Kannur,Kuttiyeri,670142,Taliparamba
Kerala,Kannur,Karimbam,670142,Taliparamba
Kerala,Kannur,Koyyam,670142,Taliparamba
Kerala,Kannur,Pattuvam,670143,Taliparamba
Kerala,Kannur,Pattuvam,670143,Pattuvam
Kerala,Kannur,Aril,670143,Pattuvam
Kerala,Kannur,Irinavu,670301,KALLIASSERI
Kerala,Kannur,Thekkumbad,670301,Mattool
Kerala,Kannur,Othayammadom,670301,Cherukunnu
Kerala,Kannur,Cherukun R.S,670301,Kannur
Kerala,Kannur,Irinavu,670301,Kannur
Kerala,Kannur,Cherukunnu,670301,Kannur
Kerala,Kannur,Thekkumbad,670301,Kannur
Kerala,Kannur,Keezhara,670301,Kannur
Kerala,Kannur,Cherukunnu,670301,KALLIASSERI
Kerala,Kannur,Thavam,670301,Kannur
Kerala,Kannur,Cherukunnu,670301,Cherukunnu
Kerala,Kannur,Keezhara,670301,Cherukunnu
Kerala,Kannur,Keezhara,670301,Kannapuram
Kerala,Kannur,Cherukunnu,670301,Kannapuram
Kerala,Kannur,Cherukun R.S,670301,Cherukunnu
Kerala,Kannur,Irinavu,670301,Kannapuram
Kerala,Kannur,Mattul,670302,Mattool
Kerala,Kannur,Mattul,670302,Kannur
Kerala,Kannur,Payangadi,670303,CHERUTHAZHAM
Kerala,Kannur,Sreestha,670303,CHERUTHAZHAM
Kerala,Kannur,Payangadi,670303,Kannur
Kerala,Kannur,Payangadi,670303,Madayi
Kerala,Kannur,Payangadi,670303,Ezhome
Kerala,Kannur,Sreestha,670303,Kannur
Kerala,Kannur,Madayi,670304,Kannur
Kerala,Kannur,Madayi,670304,Madayi
Kerala,Kannur,Vengara-kannur,670305,Madayi
Kerala,Kannur,Palakkode,670305,Payyannur
Kerala,Kannur,Vengara-kannur,670305,Kannur
Kerala,Kannur,Palakkode,670305,Ramanthali
Kerala,Kannur,Kakkara,670306,Payyannur
Kerala,Kannur,Porakunnu,670306,Payyannur
Kerala,Kannur,Olayampadi,670306,Kuttoor
Kerala,Kannur,Panapuzha,670306,Panappuzha
Kerala,Kannur,Porakunnu,670306,Perinthatta
Kerala,Kannur,Vellora,670306,Vellora
Kerala,Kannur,Mathamangalam Bazar,670306,Eramam
Kerala,Kannur,Kuttur,670306,Kuttoor
Kerala,Kannur,Eriam,670306,Panapuzha
Kerala,Kannur,Kuttur,670306,Payyannur
Kerala,Kannur,Panapuzha,670306,Payyannur
Kerala,Kannur,Vellora,670306,Payyannur
Kerala,Kannur,Mathamangalam,670306,Panapuzha
Kerala,Kannur,Kakkara,670306,Vellora
Kerala,Kannur,Mathamangalam,670306,Kadannappalli
Kerala,Kannur,Eriam,670306,PAYYANNUR
Kerala,Kannur,Mathamangalam,670306,PAYYANNUR
Kerala,Kannur,Olayampadi,670306,Payyannur
Kerala,Kannur,Mathamangalam Bazar,670306,Taliparamba
Kerala,Kannur,Kankol,670307,Kankole
Kerala,Kannur,Kanayi,670307,Korom
Kerala,Kannur,Kandankali,670307,Payyannur
Kerala,Kannur,Korom,670307,korom
Kerala,Kannur,Kandoth,670307,Payyannur
Kerala,Kannur,Annur,670307,Vellur
Kerala,Kannur,Payyanur,670307,Payyannur
Kerala,Kannur,Eramam Desom,670307,Payyannur
Kerala,Kannur,Kankol,670307,Payyannur
Kerala,Kannur,Vellur,670307,Payyannur
Kerala,Kannur,Vellur,670307,Vellur
Kerala,Kannur,Eramam Desom,670307,Eramam
Kerala,Kannur,Korom,670307,Payyannur
Kerala,Kannur,Mathil,670307,Payyannur
Kerala,Kannur,Kandoth,670307,Vellur
Kerala,Kannur,Chalakkode,670307,Korom
Kerala,Kannur,Annur,670307,Payyannur
Kerala,Kannur,Chalakkode,670307,Payyannur
Kerala,Kannur,Kavvayi,670307,Payyannur
Kerala,Kannur,Mathil,670307,Alapadamba
Kerala,Kannur,Kanayi,670307,Payannur
Kerala,Kannur,Vadakkumbad-ramanthali,670308,Payyannur
Kerala,Kannur,Karanthat,670308,Ramanthali
Kerala,Kannur,Ettikulam,670308,Payyannur
Kerala,Kannur,Ramanthali,670308,Ramanthali
Kerala,Kannur,Karanthat,670308,Payyannur
Kerala,Kannur,Ettikulam,670308,Ramanthali
Kerala,Kannur,Ramanthali,670308,Payyannur
Kerala,Kannur,Vadakkumbad-ramanthali,670308,Ramanthali
Kerala,Kannur,Ezhilode,670309,CHERUTHAZHAM
Kerala,Kannur,Kovvapuram,670309,Payannur
Kerala,Kannur,Ezhilode,670309,Payyannur
Kerala,Kannur,Ezhilode,670309,EZHILODE
Kerala,Kannur,Kunhimangalam,670309,Payyannur
Kerala,Kannur,Kunhimangalam,670309,CHERUTHAZHAM
Kerala,Kannur,Kunhimangalam,670309,Kunhimangalam
Kerala,Kannur,Ezhimala Naval Academy,670310,Payyannur
Kerala,Kannur,Ezhimala Naval Academy,670310,Ramanthali
Kerala,Kannur,Mattul North,670325,Kannur
Kerala,Kannur,Mattul North,670325,Mattool
Kerala,Kannur,Edat,670327,Kunhimangalam
Kerala,Kannur,Edat,670327,PAYYANNUR
Kerala,Kannur,Mottammal,670331,Kannapuram
Kerala,Kannur,Mottammal,670331,Kannur
Kerala,Kannur,Morazha,670331,Morazha
Kerala,Kannur,Morazha,670331,Kannur
Kerala,Kannur,Mottammal,670331,KALLIASSERI
Kerala,Kannur,Anchampeedika,670331,Kannur
Kerala,Kannur,Anchampeedika,670331,KALLIASSERI
Kerala,Kannur,Ezhome,670334,Ezhome
Kerala,Kannur,Ezhome,670334,Kannur
Kerala,Kannur,Kottila,670334,Ezhome
Kerala,Kannur,Kottila,670334,Kannur
Kerala,Kannur,Nhekly,670353,Payyannur
Kerala,Kannur,Peringome,670353,Peringome
Kerala,Kannur,CRPF Camp Aravanchal,670353,Perinthatta
Kerala,Kannur,Padiotchal,670353,Peringome
Kerala,Kannur,Padiotchal,670353,Payyannur
Kerala,Kannur,CRPF Camp Aravanchal,670353,Peringome
Kerala,Kannur,CRPF Camp Aravanchal,670353,Cheemeni
Kerala,Kannur,Nhekly,670353,Peringome
Kerala,Kannur,CRPF Camp Aravanchal,670353,Alapadamba
Kerala,Kannur,CRPF Camp Aravanchal,670353,Kuttur
Kerala,Kannur,CRPF Camp Aravanchal,670353,Payyannur
Kerala,Kannur,Payangadi R S,670358,Ezhome
Kerala,Kannur,Payangadi R S,670358,Kannur
Kerala,Kannur,Payangadi R S,670358,Madayi
Kerala,Kannur,Mandur-kannur,670501,Kannur
Kerala,Kannur,Mandur-kannur,670501,CHERUTHAZHAM
Kerala,Kannur,Chithapilapoyil,670502,Pariyaram
Kerala,Kannur,Pariyaram-kannur,670502,Pariyaram
Kerala,Kannur,Kuppam-taliparamba,670502,Taliparamba
Kerala,Kannur,Pariyaram-kannur,670502,Taliparamba
Kerala,Kannur,Thiruvattoor,670502,Taliparamba
Kerala,Kannur,Thiruvattoor,670502,Pariyaram
Kerala,Kannur,Chithapilapoyil,670502,Taliparamba
Kerala,Kannur,Pariyaram Medical College,670503,CHERUTHAZHAM
Kerala,Kannur,Pariyaram Medical College,670503,Kadannappalli
Kerala,Kannur,Pariyaram Medical College,670503,Pariyaram
Kerala,Kannur,Pariyaram Medical College,670503,PAYYANNUR
Kerala,Kannur,Vilayancode,670504,CHERUTHAZHAM
Kerala,Kannur,Vilayancode,670504,Kadannappalli
Kerala,Kannur,Kadannapally,670504,Kannur
Kerala,Kannur,Pilathara,670504,Cheruthazham
Kerala,Kannur,Kadannapally,670504,Kadannappalli
Kerala,Kannur,Nareekamvally,670504,Kannur
Kerala,Kannur,Vilayancode,670504,Kannur
Kerala,Kannur,Nareekamvally,670504,CHERUTHAZHAM
Kerala,Kannur,Kanamvayal,670511,Pulingome
Kerala,Kannur,Kozhichal,670511,Pulingome
Kerala,Kannur,Thabore,670511,Thirumeni
Kerala,Kannur,Edavaramba,670511,Payyannur
Kerala,Kannur,Josegiri,670511,Pulingome
Kerala,Kannur,Prapoyil,670511,Thirumeni
Kerala,Kannur,Chunda,670511,Pulingome
Kerala,Kannur,Edavaramba,670511,Pulingome
Kerala,Kannur,Chunda,670511,Payyannur
Kerala,Kannur,Cherupuzha,670511,Taliparamba
Kerala,Kannur,Cherupuzha,670511,Vayakkara
Kerala,Kannur,Josegiri,670511,Payyannur
Kerala,Kannur,Thirumeni,670511,Payyannur
Kerala,Kannur,Thattummal,670511,Peringome
Kerala,Kannur,Prapoyil,670511,Vayakkara
Kerala,Kannur,Thirumeni,670511,Thirumeni
Kerala,Kannur,Kuniyan,670521,Karivellur
Kerala,Kannur,Karivellur,670521,Taliparamba
Kerala,Kannur,Ettukudukka,670521,Alapadamba
Kerala,Kannur,Kozhummal,670521,Peralam
Kerala,Kannur,Pappinisseri West,670561,Kannur
Kerala,Kannur,Aroli,670561,Pappinisseri
Kerala,Kannur,Pappinisseri,670561,Pappinisseri
Kerala,Kannur,Aroli,670561,Kannur
Kerala,Kannur,Pappinisseri,670561,Kannur
Kerala,Kannur,Pappinisseri West,670561,Pappinisseri
Kerala,Kannur,Kalliasseri,670562,Taliparamba
Kerala,Kannur,Kalliasseri,670562,Kalliasseri
Kerala,Kannur,Kuttikol,670562,Kuttikkol
Kerala,Kannur,Kanul,670562,Taliparamba
Kerala,Kannur,Kuttikol,670562,Taliparamba
Kerala,Kannur,Kalliasseri,670562,Andoor
Kerala,Kannur,Nanichery,670563,Kurumathur
Kerala,Kannur,Nanichery,670563,Taliparamba
Kerala,Kannur,Nanichery,670563,Andoor
Kerala,Kannur,Parassinikadavu,670563,Andoor
Kerala,Kannur,Parassinikadavu,670563,Taliparamba
Kerala,Kannur,Kannur University Campus,670567,Taliparamba
Kerala,Kannur,Kannur University Campus,670567,Andoor
Kerala,Kannur,Kannur University Campus,670567,Kalliasseri
Kerala,Kannur,Kannur University Campus,670567,Morazha
Kerala,Kannur,Nellipara,670571,Alakode
Kerala,Kannur,Karuvanchal,670571,Taliparamba
Kerala,Kannur,Kottayad,670571,Taliparamba
Kerala,Kannur,Manakadavu,670571,Taliparamba
Kerala,Kannur,Therthally,670571,Taliparamba
Kerala,Kannur,Ottathai,670571,Vellad
Kerala,Kannur,Pathampara,670571,Vellad
Kerala,Kannur,Chittodi,670571,Peringome
Kerala,Kannur,Nellipara,670571,Taliparamba
Kerala,Kannur,Udayagiri,670571,Taliparamba
Kerala,Kannur,Chittodi,670571,Thimiri
Kerala,Kannur,Alakode,670571,Vellad
Kerala,Kannur,Vijayagiri,670571,Vellad
Kerala,Kannur,Karthikapuram,670571,Alakode
Kerala,Kannur,Kottayad,670571,Alakode
Kerala,Kannur,Manakadavu,670571,Alakode
Kerala,Kannur,Udayagiri,670571,Alakode
Kerala,Kannur,Pathampara,670571,New Naduvil
Kerala,Kannur,Chittodi,670571,Taliparamba
Kerala,Kannur,Kottayad,670571,Thimiri
Kerala,Kannur,Rayarom,670571,Alakode
Kerala,Kannur,Therthally,670571,Alakode
Kerala,Kannur,Karthikapuram,670571,Taliparamba
Kerala,Kannur,Karthikapuram,670571,Vellad
Kerala,Kannur,Manakadavu,670571,Vellad
Kerala,Kannur,Alakode,670571,Alakode
Kerala,Kannur,Alakode-kuttaramba,670571,Alakode
Kerala,Kannur,Vijayagiri,670571,Alakode
Kerala,Kannur,Ottathai,670571,Taliparamba
Kerala,Kannur,Pathampara,670571,Taliparamba
Kerala,Kannur,Rayarom,670571,Taliparamba
Kerala,Kannur,Therthally,670571,Thimiri
Kerala,Kannur,Karuvanchal,670571,Vellad
Kerala,Kannur,Alakode,670571,Taliparamba
Kerala,Kannur,Vellad,670571,Taliparamba
Kerala,Kannur,Vijayagiri,670571,Taliparamba
Kerala,Kannur,Nellipara,670571,Thimiri
Kerala,Kannur,Arivilanjapoyil,670571,Alakode
Kerala,Kannur,Karuvanchal,670571,Alakode
